Name,Location,Specialization,Rating,Availability,9AM,10AM,11AM,12PM,1PM,2PM,3PM,4PM,5PM
Dr. Mason Thompson,San Jose,Vascular Surgeon,4,0,0,0,1,1,1,1,0,1,0
Dr. Ava Gonzalez,San Antonio,Allergist/Immunologist,2,1,0,0,0,0,1,0,1,1,0
Dr. Jacob Carter,Los Angeles,Pulmonologist,5,0,0,0,0,1,0,1,0,0,1
Dr. Olivia White,New York,Orthopedic Surgeon,5,0,0,1,0,0,1,0,0,0,1
Dr. Elizabeth Rodriguez,Phoenix,Allergist/Immunologist,3,1,0,1,1,1,0,1,1,1,1
Dr. Evelyn Gonzalez,Chicago,Orthopedic Surgeon,2,0,1,1,0,0,0,0,1,0,0
Dr. Mason Martinez,Houston,Urologist,1,0,0,0,0,1,1,1,0,0,0
Dr. Emily Roberts,San Antonio,"Ear, Nose, and Throat (ENT) Specialist",2,1,1,0,1,0,1,0,0,0,1
Dr. William Rivera,San Diego,Orthopedic Surgeon,4,1,1,1,0,1,1,1,1,1,0
Dr. Ethan Rodriguez,San Antonio,Cardiologist,3,1,1,1,0,1,1,0,0,0,1
Dr. Olivia Perez,Los Angeles,"Ear, Nose, and Throat (ENT) Specialist",5,0,0,0,1,1,0,1,1,0,1
Dr. Ethan Harris,Los Angeles,Orthopedic Surgeon,4,0,0,1,0,0,1,1,0,0,1
Dr. Harper Baker,Los Angeles,Gastroenterologist,2,1,1,0,0,0,0,1,1,0,1
Dr. James Lee,Phoenix,Pulmonologist,5,1,1,0,1,1,0,1,0,1,0
Dr. Olivia Hall,Houston,"Ear, Nose, and Throat (ENT) Specialist",5,0,1,1,1,0,0,0,1,1,0
Dr. William Mitchell,Chicago,Allergist/Immunologist,3,0,0,1,0,0,0,0,0,0,0
Dr. Jacob Garcia,Los Angeles,Dermatologist,4,1,0,1,1,1,1,0,0,1,1
Dr. Ava Gonzalez,Chicago,Pulmonologist,5,1,1,1,1,1,0,0,0,1,1
Dr. Olivia Moore,San Diego,Gastroenterologist,1,0,0,1,1,1,1,1,0,0,0
Dr. Olivia Adams,San Diego,Dermatologist,4,0,1,0,1,1,1,1,0,0,0
Dr. Daniel Wilson,Los Angeles,Vascular Surgeon,4,0,1,1,1,0,1,0,1,1,1
Dr. Ava Harris,Los Angeles,Rheumatologist,3,0,1,1,1,1,1,1,1,0,1
Dr. Isabella White,Philadelphia,"Ear, Nose, and Throat (ENT) Specialist",3,1,1,0,0,1,0,0,1,0,0
Dr. Emily Anderson,San Jose,Cardiologist,2,1,1,0,0,1,1,0,0,0,1
Dr. Olivia Gonzalez,Chicago,Orthopedic Surgeon,2,0,0,1,1,1,1,0,0,0,0
Dr. Charlotte Edwards,San Diego,Pulmonologist,4,1,1,1,1,1,0,1,0,1,0
Dr. Olivia White,Phoenix,Allergist/Immunologist,5,1,1,1,1,1,0,1,0,0,1
Dr. Mason Clark,San Diego,"Ear, Nose, and Throat (ENT) Specialist",1,1,0,0,1,0,0,1,0,1,0
Dr. Ava Anderson,Phoenix,Allergist/Immunologist,1,1,1,0,1,0,1,1,0,0,0
Dr. Chloe Johnson,Los Angeles,Allergist/Immunologist,3,1,1,0,0,1,1,0,0,1,0
Dr. Ethan Brown,New York,"Ear, Nose, and Throat (ENT) Specialist",4,0,1,1,1,1,0,0,0,0,1
Dr. Mia Coleman,Los Angeles,Endocrinologist,2,1,0,1,0,0,0,1,0,0,0
Dr. Charlotte Lopez,New York,Neurologist,5,1,1,1,1,1,0,1,0,0,0
Dr. Madison Rivera,Los Angeles,"Ear, Nose, and Throat (ENT) Specialist",5,1,0,0,1,1,1,1,1,1,1
Dr. Harper Carter,Los Angeles,Dermatologist,5,0,1,0,1,0,1,1,1,1,1
Dr. Aiden Gonzalez,San Jose,General Practitioner (GP),3,1,0,1,0,1,1,1,0,0,0
Dr. Harper Williams,San Diego,Endocrinologist,3,1,1,1,0,0,0,1,1,1,1
Dr. Isabella Thompson,Chicago,Pharmacologist,5,0,1,1,1,0,0,0,0,1,0
Dr. Evelyn Clark,New York,Infectious Disease Specialist,4,0,0,0,0,0,1,1,0,1,0
Dr. Amelia Morris,San Antonio,Allergist/Immunologist,1,0,1,1,1,0,1,1,0,0,0
Dr. Emily Lee,Philadelphia,Vascular Surgeon,3,1,1,0,1,0,0,0,0,1,0
Dr. Logan Gonzales,Dallas,Allergist/Immunologist,4,1,1,1,1,1,0,1,1,0,0
Dr. Olivia Harris,Chicago,Proctologist,2,1,0,1,1,1,0,1,1,0,1
Dr. Ava Carter,Houston,Dermatologist,3,1,1,0,0,0,1,1,0,0,0
Dr. Madison Hernandez,San Antonio,Dermatologist,1,0,1,0,0,1,0,0,0,0,0
Dr. Charlotte Mitchell,Philadelphia,Neurologist,2,0,0,1,0,1,0,0,0,0,0
Dr. Harper Bailey,San Diego,Proctologist,1,0,1,0,1,0,0,0,1,1,1
Dr. Matthew Taylor,San Antonio,Vascular Surgeon,2,0,1,0,1,0,0,1,0,0,0
Dr. Olivia Stewart,Phoenix,"Ear, Nose, and Throat (ENT) Specialist",5,0,0,0,1,0,0,1,0,0,1
Dr. Olivia King,Houston,"Ear, Nose, and Throat (ENT) Specialist",3,1,0,0,1,1,1,1,0,0,0
Dr. Harper Anderson,Dallas,Proctologist,3,1,0,1,0,1,1,0,0,0,1
Dr. Amelia Davis,Houston,Infectious Disease Specialist,3,0,0,0,0,1,1,1,1,0,0
Dr. Mia Nelson,San Jose,Cardiologist,4,0,0,1,0,0,1,0,1,1,1
Dr. Benjamin Rivera,Houston,Dermatologist,4,0,1,0,1,1,0,1,1,1,0
Dr. Harper Clark,Houston,Dermatologist,1,1,1,1,1,1,1,0,0,0,0
Dr. Charlotte Lopez,Los Angeles,Urologist,1,1,1,1,1,0,0,0,0,0,1
Dr. Ethan Evans,New York,Allergist/Immunologist,4,1,0,1,0,0,0,1,0,0,0
Dr. Harper Perez,San Jose,Endocrinologist,1,1,0,1,0,0,0,1,0,1,1
Dr. Ethan Evans,San Jose,Neurologist,1,1,0,0,1,1,1,0,0,1,0
Dr. Emily Roberts,Houston,General Practitioner (GP),2,1,1,1,0,0,0,1,0,1,0
Dr. Mia Roberts,Houston,Vascular Surgeon,3,0,1,1,1,0,1,0,1,1,0
Dr. Logan Russell,San Diego,General Practitioner (GP),1,1,1,0,0,0,1,0,0,1,0
Dr. Harper King,New York,Rheumatologist,2,0,1,1,0,1,1,1,0,0,1
Dr. Benjamin King,New York,Cardiologist,1,0,0,1,1,1,0,1,1,0,0
Dr. Daniel Lewis,Chicago,Orthopedic Surgeon,3,0,0,0,0,1,1,0,0,1,1
Dr. Michael White,Dallas,Pharmacologist,3,1,1,0,0,0,0,1,1,0,0
Dr. Elijah Scott,San Antonio,Pharmacologist,4,0,0,0,1,1,1,0,1,1,0
Dr. Michael Morris,Dallas,Pharmacologist,1,0,0,0,0,0,0,1,0,1,1
Dr. Mason Harris,San Antonio,Orthopedic Surgeon,3,1,0,1,0,0,0,0,1,1,1
Dr. Benjamin Gonzales,Houston,Cardiologist,5,0,0,0,0,1,0,1,1,0,0
Dr. Daniel Rivera,Dallas,Dermatologist,2,0,1,1,0,0,0,1,1,1,0
Dr. Abigail Rivera,San Diego,Cardiologist,4,0,1,1,0,1,0,1,0,0,1
Dr. Jacob Harris,Chicago,Endocrinologist,1,1,1,1,0,0,1,1,0,1,0
Dr. Madison Stewart,Los Angeles,Proctologist,5,1,0,1,1,0,0,1,0,1,1
Dr. Noah Taylor,San Jose,Proctologist,5,1,0,0,0,1,1,0,1,1,0
Dr. Evelyn Hall,San Jose,Infectious Disease Specialist,4,1,1,1,1,0,1,1,1,0,1
Dr. Alexander Jones,Phoenix,Vascular Surgeon,2,0,0,0,1,0,0,1,1,0,1
Dr. Charlotte King,San Antonio,Cardiologist,2,1,1,0,1,1,1,1,1,1,0
Dr. Matthew Morris,Chicago,Vascular Surgeon,5,0,0,1,1,1,1,0,1,1,0
Dr. Jacob Scott,Phoenix,"Ear, Nose, and Throat (ENT) Specialist",2,1,0,0,0,0,0,1,0,1,1
Dr. Benjamin Anderson,San Jose,Rheumatologist,2,0,0,0,0,0,0,1,0,0,0
Dr. Daniel Cook,Chicago,Gastroenterologist,1,0,0,0,1,1,0,0,0,0,0
Dr. Ava Roberts,Dallas,General Practitioner (GP),1,1,0,0,1,1,0,1,0,0,0
Dr. Logan Rivera,Phoenix,Vascular Surgeon,3,1,1,0,1,0,1,0,1,1,0
Dr. Harper Anderson,San Diego,Pulmonologist,2,0,1,0,1,0,1,1,1,1,0
Dr. Ethan Smith,San Diego,Pharmacologist,2,0,0,0,0,1,0,1,0,0,1
Dr. Sophia Adams,Chicago,Cardiologist,3,1,0,1,0,0,0,0,1,1,1
Dr. Benjamin Hill,Philadelphia,"Ear, Nose, and Throat (ENT) Specialist",5,1,1,1,0,1,0,1,0,0,0
Dr. Mason Wright,San Antonio,Orthopedic Surgeon,4,1,1,0,1,1,0,1,0,1,1
Dr. Olivia Wilson,Dallas,Infectious Disease Specialist,1,1,0,0,1,0,1,0,1,1,0
Dr. Michael Martinez,Dallas,Gastroenterologist,5,0,0,0,1,0,1,1,0,0,1
Dr. William Smith,San Diego,Infectious Disease Specialist,4,1,0,0,0,0,1,1,0,1,1
Dr. Mia Russell,Houston,Urologist,2,1,0,0,0,1,0,0,1,1,1
Dr. Michael King,Dallas,Cardiologist,2,0,0,0,0,1,1,0,0,1,1
Dr. Alexander White,Phoenix,Orthopedic Surgeon,2,1,1,0,1,1,0,0,1,0,1
Dr. William Stewart,Chicago,Neurologist,3,0,1,0,1,1,0,0,0,0,1
Dr. Mia Hill,New York,Endocrinologist,3,0,1,0,1,1,1,1,0,1,1
Dr. Harper Smith,Philadelphia,Endocrinologist,1,1,0,1,1,1,1,0,0,1,1
Dr. Madison Stewart,Los Angeles,Cardiologist,2,1,1,0,1,0,1,0,0,0,0
Dr. William Evans,Phoenix,Gastroenterologist,3,0,0,0,1,1,1,0,1,0,1
Dr. Evelyn Wright,Houston,Gastroenterologist,5,0,0,1,0,1,0,1,0,1,0
Dr. William Green,Houston,Dermatologist,5,0,0,0,0,0,0,1,0,0,0
Dr. Ethan Jones,Philadelphia,Pulmonologist,3,0,0,1,0,0,0,0,1,0,0
Dr. Benjamin Hernandez,Philadelphia,Infectious Disease Specialist,2,0,1,0,0,0,0,1,0,0,1
Dr. Benjamin White,Los Angeles,Urologist,3,1,1,1,1,0,1,0,0,0,1
Dr. Harper Evans,San Antonio,Endocrinologist,1,0,0,1,0,1,0,0,1,0,1
Dr. Olivia Wilson,New York,Orthopedic Surgeon,1,0,0,0,1,0,0,1,0,0,0
Dr. Daniel Baker,Phoenix,Rheumatologist,3,0,1,1,1,1,1,1,1,1,1
Dr. Harper Lewis,Houston,Pharmacologist,4,1,1,0,1,1,1,0,0,1,0
Dr. Jacob Morris,Chicago,Pharmacologist,4,1,1,0,1,0,1,0,1,0,1
Dr. Jacob Lopez,Dallas,Gastroenterologist,4,0,1,0,0,1,0,1,0,1,1
Dr. Jacob Murphy,Chicago,Neurologist,4,0,1,1,0,0,1,1,0,0,0
Dr. Jacob Gonzales,Chicago,Orthopedic Surgeon,1,1,1,0,0,0,0,1,1,0,1
Dr. Ethan Green,Philadelphia,Gastroenterologist,3,0,1,1,1,0,1,0,1,1,1
Dr. Chloe Rodriguez,San Diego,Rheumatologist,1,0,1,0,0,1,1,0,1,0,0
Dr. Madison Johnson,San Antonio,Proctologist,2,0,0,1,0,1,0,0,1,0,1
Dr. Daniel King,Phoenix,Neurologist,4,1,1,0,1,1,0,0,1,0,1
Dr. Jacob King,San Diego,Rheumatologist,5,1,0,0,1,0,1,0,1,1,0
Dr. Daniel Green,Houston,Pharmacologist,1,0,0,1,1,0,1,0,0,0,0
Dr. Harper Cook,San Antonio,General Practitioner (GP),1,0,0,0,0,1,1,1,0,0,1
Dr. Benjamin Green,Phoenix,Endocrinologist,3,0,0,1,0,1,0,1,1,0,0
Dr. Charlotte Scott,Philadelphia,Proctologist,4,1,0,1,0,0,0,0,0,0,0
Dr. Aiden Harris,San Diego,Cardiologist,5,0,0,1,1,1,0,0,0,1,1
Dr. Sophia Carter,Dallas,Allergist/Immunologist,1,0,0,0,0,1,1,1,0,0,1
Dr. Jacob Hernandez,San Antonio,Vascular Surgeon,1,1,0,0,1,0,1,0,1,0,0
Dr. Abigail Brown,San Diego,Neurologist,2,1,1,1,1,1,0,1,1,1,1
Dr. Mia Nelson,New York,Urologist,2,0,0,1,0,0,1,0,0,0,1
Dr. Isabella Thompson,Dallas,Rheumatologist,3,0,1,0,0,1,0,1,0,1,1
Dr. Mason Hernandez,Philadelphia,Orthopedic Surgeon,5,0,0,1,0,0,1,1,0,0,0
Dr. Benjamin Phillips,San Antonio,Endocrinologist,4,1,0,1,1,1,0,1,0,1,0
Dr. Ava Brown,Dallas,Infectious Disease Specialist,3,0,1,0,1,0,1,0,1,0,1
Dr. Emily Roberts,New York,Proctologist,3,1,1,0,1,0,1,1,1,1,1
Dr. Aiden Lopez,San Antonio,Allergist/Immunologist,4,0,1,0,1,1,0,0,0,0,1
Dr. William Hill,San Jose,Endocrinologist,1,0,1,0,0,1,0,1,0,0,0
Dr. Olivia Taylor,Chicago,Pharmacologist,2,0,0,0,0,1,0,1,0,0,1
Dr. Daniel Stewart,Chicago,"Ear, Nose, and Throat (ENT) Specialist",3,0,1,1,1,1,1,1,1,1,1
Dr. William Thompson,Chicago,Orthopedic Surgeon,5,0,1,1,0,1,1,0,1,1,0
Dr. Benjamin Bailey,San Jose,Neurologist,5,1,1,1,0,0,0,0,0,0,1
Dr. Daniel Martinez,Dallas,Cardiologist,1,1,1,1,0,0,0,1,0,0,1
Dr. Noah King,Phoenix,Dermatologist,2,1,1,1,1,1,1,0,0,0,1
Dr. Harper Lopez,Phoenix,Rheumatologist,2,1,1,0,1,1,1,1,0,0,1
Dr. Olivia Murphy,Los Angeles,Dermatologist,5,1,0,0,1,0,0,1,1,0,0
Dr. Daniel Moore,Chicago,Orthopedic Surgeon,5,1,1,0,0,0,1,0,1,0,0
Dr. Ethan Johnson,Philadelphia,Neurologist,4,1,1,0,1,0,0,1,0,1,0
Dr. Daniel Lopez,Philadelphia,Rheumatologist,1,0,0,1,1,0,1,1,0,1,1
Dr. Noah Coleman,San Jose,Pharmacologist,5,1,0,1,1,0,0,1,0,1,1
Dr. Michael Miller,Dallas,Neurologist,4,1,1,0,0,0,0,0,1,1,1
Dr. Amelia Baker,Los Angeles,Proctologist,3,0,1,1,0,0,1,1,1,0,1
Dr. Michael Lee,Dallas,Vascular Surgeon,5,1,1,0,1,1,0,0,1,1,0
Dr. Matthew King,Philadelphia,Allergist/Immunologist,1,1,1,1,0,1,1,1,0,0,1
Dr. Chloe Nelson,San Jose,Cardiologist,2,0,0,1,0,0,0,1,1,0,1
Dr. William Morris,Houston,General Practitioner (GP),5,1,0,0,1,1,0,1,0,1,0
Dr. Benjamin Evans,Chicago,Pulmonologist,3,1,0,1,1,0,1,0,0,0,1
Dr. Daniel Stewart,San Antonio,Vascular Surgeon,2,1,0,0,1,1,0,0,0,0,1
Dr. Elijah Miller,Los Angeles,Vascular Surgeon,2,1,0,0,0,1,1,0,1,1,0
Dr. Elizabeth Lee,San Jose,"Ear, Nose, and Throat (ENT) Specialist",4,1,0,1,0,0,1,0,0,0,0
Dr. Emily Lewis,Philadelphia,Cardiologist,5,0,1,1,1,1,1,1,0,0,1
Dr. Harper Carter,San Diego,Urologist,2,1,1,0,0,0,0,1,0,1,0
Dr. Evelyn Gonzales,Los Angeles,General Practitioner (GP),4,0,0,0,0,1,1,0,1,0,0
Dr. Mason Roberts,Los Angeles,General Practitioner (GP),1,1,1,0,1,0,0,1,1,1,0
Dr. Harper Clark,Houston,Rheumatologist,1,1,0,1,1,1,1,0,1,1,1
Dr. Harper Roberts,Dallas,Allergist/Immunologist,4,0,1,0,0,0,1,1,0,0,0
Dr. Mia Evans,Houston,"Ear, Nose, and Throat (ENT) Specialist",4,0,0,0,0,0,0,1,0,1,0
Dr. Harper Johnson,Philadelphia,Neurologist,1,0,1,1,1,0,0,1,1,1,1
Dr. Amelia Davis,Los Angeles,Orthopedic Surgeon,1,0,1,0,0,0,0,1,1,1,1
Dr. Sophia Davis,Phoenix,Neurologist,5,1,1,0,1,0,1,1,1,0,0
Dr. Michael Lopez,Philadelphia,Infectious Disease Specialist,2,0,1,1,1,0,1,1,0,1,1
Dr. Isabella Harris,Dallas,Pharmacologist,5,0,1,0,0,1,0,0,1,0,1
Dr. Mia Edwards,San Jose,Endocrinologist,5,1,0,1,1,0,0,1,1,0,0
Dr. Madison Green,Dallas,"Ear, Nose, and Throat (ENT) Specialist",2,1,1,1,1,0,0,1,1,0,1
Dr. Harper Jones,Los Angeles,Orthopedic Surgeon,1,0,0,1,1,0,0,0,0,1,1
Dr. Aiden King,Los Angeles,Cardiologist,1,1,0,1,0,1,1,1,0,1,1
Dr. Olivia Hernandez,Chicago,General Practitioner (GP),1,0,1,0,0,0,0,1,0,0,1
Dr. Mason Johnson,Philadelphia,Cardiologist,1,0,1,0,1,1,0,1,1,1,0
Dr. Ava Moore,Chicago,Rheumatologist,4,1,0,1,0,1,1,0,0,0,1
Dr. Noah Miller,San Diego,Gastroenterologist,4,1,0,0,1,1,0,0,1,0,0
Dr. Mia Lewis,San Jose,Cardiologist,5,1,0,0,0,0,0,0,1,1,0
Dr. Mason Adams,Chicago,Vascular Surgeon,1,1,0,1,0,0,1,0,0,1,1
Dr. Harper Davis,Chicago,Dermatologist,5,1,0,1,1,0,1,0,0,0,1
Dr. Isabella Johnson,Philadelphia,Cardiologist,3,1,1,1,0,1,0,1,0,0,1
Dr. Mason Bailey,Philadelphia,Urologist,4,1,1,0,0,1,0,1,1,0,0
Dr. Harper Stewart,San Jose,Gastroenterologist,3,1,1,1,1,1,0,0,0,1,1
Dr. Amelia Perez,Dallas,Allergist/Immunologist,3,0,0,0,0,1,1,1,0,0,1
Dr. Abigail Scott,Chicago,Allergist/Immunologist,3,1,1,0,1,0,0,1,1,1,0
Dr. Charlotte Russell,San Jose,Urologist,1,1,1,0,0,1,0,0,0,1,1
Dr. Chloe Martinez,Houston,General Practitioner (GP),5,1,1,1,0,0,1,1,1,0,0
Dr. Olivia Anderson,Los Angeles,Pulmonologist,2,1,1,0,1,0,1,1,0,0,0
Dr. Evelyn Nelson,San Jose,Allergist/Immunologist,1,1,1,1,1,1,0,1,0,1,0
Dr. Ava Wright,San Diego,Urologist,3,1,0,1,1,1,0,1,1,1,1
Dr. Amelia Adams,Los Angeles,Neurologist,2,1,0,1,0,1,0,1,1,0,0
Dr. William Garcia,Dallas,Neurologist,5,0,0,0,0,0,0,1,1,0,1
Dr. Harper Thompson,Dallas,"Ear, Nose, and Throat (ENT) Specialist",3,1,1,1,1,0,0,1,1,1,1
Dr. Amelia Johnson,Phoenix,Neurologist,1,0,0,0,1,1,0,0,1,1,1
Dr. James Russell,Dallas,Neurologist,3,1,0,0,0,1,0,0,0,1,0
Dr. Aiden Brown,Phoenix,Vascular Surgeon,3,0,1,1,1,1,0,1,1,0,0
Dr. Sophia Moore,Houston,Pharmacologist,2,0,0,1,0,0,1,1,1,0,1
Dr. Aiden Roberts,Houston,Endocrinologist,4,0,1,1,1,1,1,0,1,1,1
Dr. Olivia Perez,Los Angeles,General Practitioner (GP),3,0,1,1,1,0,0,1,0,1,0
Dr. Chloe Nelson,San Antonio,Gastroenterologist,2,1,1,0,1,0,1,1,1,1,0
Dr. Sophia Rodriguez,Philadelphia,Rheumatologist,5,0,0,0,0,0,1,0,0,0,1
Dr. Elijah Roberts,San Antonio,Urologist,3,0,1,0,1,1,0,0,1,0,0
Dr. Matthew Carter,Chicago,Pharmacologist,5,1,0,0,1,1,1,0,1,0,1
Dr. Olivia Murphy,San Diego,Vascular Surgeon,2,0,0,0,1,0,1,0,0,1,0
Dr. Sophia Wilson,New York,Cardiologist,4,1,1,1,1,0,0,1,1,1,1
Dr. Matthew Bailey,San Diego,Cardiologist,5,0,0,1,1,1,1,1,0,1,0
Dr. Daniel Smith,Chicago,Pulmonologist,4,0,1,0,1,0,1,0,0,0,1
Dr. Mia Gonzalez,San Antonio,Infectious Disease Specialist,3,0,1,0,0,1,0,0,0,0,0
Dr. Ethan Rivera,Chicago,Infectious Disease Specialist,4,1,1,0,1,0,0,1,1,0,1
Dr. Charlotte Davis,Houston,Neurologist,5,1,0,0,1,0,1,0,1,1,0
Dr. Isabella Moore,New York,Infectious Disease Specialist,5,0,1,0,1,0,1,1,0,1,1
Dr. Aiden Anderson,San Antonio,Allergist/Immunologist,4,1,0,0,1,0,0,0,0,1,0
Dr. Isabella Russell,New York,"Ear, Nose, and Throat (ENT) Specialist",4,0,0,1,0,0,1,0,0,1,1
Dr. Mia Rivera,San Jose,Dermatologist,1,1,1,0,1,0,0,0,0,1,1
Dr. Michael Murphy,Houston,"Ear, Nose, and Throat (ENT) Specialist",2,1,0,0,0,0,1,1,1,0,1
Dr. Benjamin Jones,Philadelphia,"Ear, Nose, and Throat (ENT) Specialist",4,0,0,1,0,1,1,0,0,0,0
Dr. Noah Jones,Los Angeles,"Ear, Nose, and Throat (ENT) Specialist",3,1,1,1,1,1,1,0,1,0,1
Dr. William Lewis,Chicago,Dermatologist,4,1,0,0,1,1,0,0,0,1,0
Dr. Madison Hernandez,Dallas,Allergist/Immunologist,4,1,0,0,0,0,1,1,1,1,0
Dr. Ava Jones,Los Angeles,Pharmacologist,1,0,0,1,0,0,1,1,1,1,0
Dr. Lucas Harris,Dallas,Dermatologist,1,0,0,1,0,1,1,1,0,1,0
Dr. Evelyn Cook,San Diego,Vascular Surgeon,3,0,1,1,1,0,0,0,0,1,0
Dr. Jacob Perez,Dallas,General Practitioner (GP),4,0,1,1,1,0,1,1,0,0,1
Dr. Ethan Harris,San Antonio,Urologist,1,0,1,0,0,0,0,0,0,0,1
Dr. Daniel Adams,San Diego,Proctologist,4,1,0,1,0,0,1,1,1,1,0
Dr. Elizabeth Adams,Philadelphia,General Practitioner (GP),1,1,1,0,1,0,1,1,0,1,1
Dr. Harper Green,Dallas,Pulmonologist,2,0,1,0,1,1,1,1,1,0,0
Dr. Harper Rodriguez,Los Angeles,Gastroenterologist,1,1,0,1,0,1,1,1,1,1,0
Dr. Lucas Evans,Phoenix,"Ear, Nose, and Throat (ENT) Specialist",5,0,1,1,0,0,1,0,1,1,0
Dr. Elijah White,New York,"Ear, Nose, and Throat (ENT) Specialist",1,0,0,0,0,0,1,1,1,1,1
Dr. Madison Hernandez,San Jose,General Practitioner (GP),3,0,1,0,1,1,1,1,0,1,0
Dr. Benjamin Lopez,New York,Rheumatologist,3,1,1,0,0,0,0,1,0,1,1
Dr. Amelia Rodriguez,Dallas,Proctologist,1,1,1,0,0,1,0,0,0,1,0
Dr. Olivia Wright,Dallas,Pharmacologist,5,0,1,1,0,0,1,0,1,1,1
Dr. Abigail Gonzalez,San Jose,Vascular Surgeon,1,0,1,0,1,0,1,0,0,0,0
Dr. Abigail Miller,Philadelphia,Cardiologist,5,1,1,0,0,1,0,1,1,1,0
Dr. Emily Scott,New York,Cardiologist,1,1,0,1,0,0,1,1,0,0,0
Dr. Ava King,Houston,Allergist/Immunologist,4,0,0,1,1,0,0,0,1,0,0
Dr. Evelyn Brown,Chicago,Cardiologist,4,1,0,0,0,0,1,0,1,0,1
Dr. Mason Anderson,Phoenix,Urologist,2,1,0,0,0,0,0,1,1,0,1
Dr. Mia Baker,San Diego,Endocrinologist,1,1,1,1,0,1,0,0,0,0,1
Dr. Ethan Morris,Philadelphia,Pulmonologist,2,1,0,1,0,1,0,0,0,0,1
Dr. Alexander Nelson,Phoenix,Infectious Disease Specialist,3,0,1,1,1,0,0,0,1,1,1
Dr. Benjamin Moore,Philadelphia,Pharmacologist,4,0,1,0,0,0,0,0,1,0,1
Dr. Sophia Anderson,New York,Rheumatologist,2,1,0,0,0,0,0,1,0,0,0
Dr. Elijah Lee,Chicago,Endocrinologist,1,1,0,1,0,0,1,0,0,1,0
Dr. Sophia Harris,Philadelphia,Infectious Disease Specialist,1,0,1,0,0,1,0,1,0,1,0
Dr. Ava Taylor,Los Angeles,Pharmacologist,3,0,0,0,1,0,1,0,0,1,1
Dr. Ava Lee,Chicago,Urologist,5,0,0,1,1,1,0,0,0,0,1
Dr. Amelia Rodriguez,Chicago,General Practitioner (GP),1,1,1,0,1,0,1,0,1,0,0
Dr. Mason Hill,Philadelphia,Allergist/Immunologist,1,1,0,1,1,1,1,1,1,1,1
Dr. William Garcia,Phoenix,Infectious Disease Specialist,5,0,1,0,0,0,0,0,1,1,0
Dr. Daniel Gonzales,New York,Gastroenterologist,3,0,0,1,0,1,1,1,0,0,1
Dr. Logan Thompson,San Diego,General Practitioner (GP),3,1,1,1,0,0,1,1,0,1,0
Dr. Benjamin Roberts,Dallas,Cardiologist,4,0,1,1,1,1,0,0,1,1,1
Dr. Harper Wilson,Los Angeles,Gastroenterologist,2,0,1,1,0,1,1,1,0,1,0
Dr. Logan White,San Diego,Pulmonologist,1,1,0,1,0,0,0,1,1,0,1
Dr. Harper Jones,Chicago,Dermatologist,3,0,1,1,0,1,0,1,0,0,0
Dr. Ethan Jones,San Jose,Cardiologist,5,1,0,1,0,0,0,0,1,0,1
Dr. Chloe Coleman,Dallas,General Practitioner (GP),3,0,1,1,0,1,0,0,0,0,0
Dr. Alexander Nelson,New York,Vascular Surgeon,3,1,0,0,0,0,1,0,0,1,0
Dr. William Perez,Philadelphia,Proctologist,3,1,1,0,1,1,0,1,1,0,1
Dr. Aiden Perez,Chicago,Vascular Surgeon,2,0,1,1,1,0,0,0,0,1,1
